category_name,asin_list
Tools & Home Improvement,"['B07V5LK5J3', 'B001HWGJAK', 'B001D2X9WU', 'B083S6S7VG', 'B09YFS3TR9', 'B0BBFYRJCD', 'B0BWN2DTJD', 'B0CF1N2HKN', 'B01EBLY81U', 'B0C3GRM19Y', 'B084111VK1', 'B06XXSR7CQ', 'B0B6FFGW5X', 'B0889KTLXJ', 'B008FDT3FM', 'B0171X0JPE', 'B09G9PJFBR', 'B002C61V7Q', 'B08BF78G8P', 'B00TODY7YO', 'B08QMM8K9C', 'B00IZFI0VI', 'B00ITPIG54', 'B085HFPM9Z', 'B0CB5CB7PK', 'B08RYLKT9Y', 'B07TN6YT2P', 'B07PPLX2L5', 'B0B5DM42BQ', 'B09X56FJY7', 'B087WV6FXB', 'B0C73CBMKT', 'B079C73NXT', 'B01CDGCQG4', 'B0B17FS4ZW', 'B00CEHFC96', 'B00G7QRJKK', 'B002NQVHRY', 'B00XE5LXCM', 'B08C4ZMKP1', 'B09MT3PL2B', 'B0069AK8NO', 'B003ILD1RW', 'B0BL2CTZBS', 'B06W553T8Y', 'B0036SZYO0', 'B07KG2G1HD', 'B001HWBYB4', 'B09P88XZQP', 'B0BXS2QQXZ', 'B094V8KXQV', 'B07PG6FQR2', 'B005NYXT60', 'B07NC1XM4Y', 'B09WMPKGBH', 'B09KBT7FY6', 'B07K52RZRG', 'B002Q0Y5MG', 'B09HTWWXSV', 'B00EC8N5ZI', 'B09YRGGQX7', 'B07DF1WDCY', 'B06XWK47YR', 'B076DGDMD6', 'B00A6X0QJQ', 'B00ROB2O0C', 'B09FK6XXKZ', 'B08B1GTQXQ', 'B09SJ6HF6X', 'B00ECBYRCK', 'B0BX3P7N44', 'B08K7G25J3', 'B0BZD39L99', 'B07TWRJ4XX', 'B00422MR12', 'B0777GG582', 'B09787TSGN', 'B01FLH4TC6', 'B081DXW82P', 'B09JQN5YTQ', 'B08QSHFGXX', 'B0C6PCX1X3', 'B01KVFY1OO', 'B003E63HZM', 'B00CD774IE', 'B01N9JLDBK', 'B000UYV0WI', 'B0B9HPXNWK', 'B001D8CRB8', 'B005ESNEYW', 'B08PYCD4XV', 'B005EXPIO6', 'B00CBJWBPU', 'B005EXO5CC', 'B00LAEOM2M', 'B0058EDMBC', 'B0BLRY7Z69', 'B0CC1NYW5F', 'B07N8G6NLK', 'B001E5L19O']"
Lighting & Ceiling Fans,"['B07V5LK5J3', 'B0C3GRM19Y', 'B06XXSR7CQ', 'B07TN6YT2P', 'B0B5DM42BQ', 'B09X56FJY7', 'B0C73CBMKT', 'B01CDGCQG4', 'B00G7QRJKK', 'B0BL2CTZBS', 'B09P88XZQP', 'B0BXS2QQXZ', 'B09YRGGQX7', 'B08B1GTQXQ', 'B0777GG582', 'B0CC1NYW5F']"
Outdoor Lighting,"['B07V5LK5J3', 'B0B5DM42BQ']"
Post Lights,['B07V5LK5J3']
Automotive,"['B00080QHMM', 'B0BTNL5FZK', 'B009B9H8ME', 'B000BZG75Q', 'B0B716WM88', 'B0932HMW1G', 'B0C5D3196C', 'B00C4ZT9EM', 'B0BTBTQ1XB', 'B0BD5JCZH3', 'B09WD4QYFM', 'B0051UPEMS', 'B09LSWYVH4', 'B0C77M14NF', 'B0C17SKJ77', 'B003ZJ16K6', 'B08ZKXX16F', 'B0C5M9HF2P', 'B08LQYNVNP', 'B0C61L747J', 'B07MHJK2MP', 'B0B1373CQD', 'B008PKV0TM', 'B0836ZWJ6V', 'B07PFL4YTN', 'B099SM1KPZ', 'B0CKLDX52J', 'B0747ZWCGN', 'B08C4VF68W', 'B00G4NYOGI', 'B08NSX1LN8', 'B095C8Q1X6', 'B09NBQR3GH', 'B08HJRTRG3', 'B07GZJT61Z', 'B0126MEK3C', 'B0BSLFGTWK', 'B0CNRJHVNV', 'B00TF8G8EA', 'B08DK7LP8B']"
Tools & Equipment,"['B00080QHMM', 'B0C5M9HF2P', 'B008PKV0TM', 'B0836ZWJ6V', 'B07PFL4YTN']"
Tire & Wheel Tools,"['B00080QHMM', 'B0836ZWJ6V']"
Tire Repair Tools,"['B00080QHMM', 'B0836ZWJ6V']"
Beauty,"['B0CNZ6ZV14', 'B0B3X64DV2', 'B0BN3WQB92', 'B0B25H9G4K', 'B00K3U2DAM', 'B00YEJYSEM', 'B0BT7B7P5T', 'B09CQB6FZF', 'B00UBV4PL8', 'B09G6WF1GS', 'B0CGDF3Z4G', 'B07PDRD1KT', 'B078Q55M95', 'B099RVK69C', 'B0B4KC8HJG', 'B006L6A06Q', 'B09QX1CGDH', 'B074J7869B', 'B00WSPJUPG', 'B00K3TVJMQ', 'B0C3M12R6B', 'B0BDFB9JQH', 'B01CY764KQ', 'B08MM9WKGV', 'B01G6KZAJ8', 'B08JV31QW4', 'B0992PFXLR', 'B097LJPHWS', 'B06XYGBZ4Q', 'B07Z2WBY5M', 'B09TFQ63ZK']"
Hair Care,"['B0CNZ6ZV14', 'B0B25H9G4K', 'B078Q55M95', 'B006L6A06Q', 'B08MM9WKGV', 'B0169ZPWUW']"
