department,top_5_asins
Dressberry Black Synthetic  Clutch,"['CLTEHE9FDPYN5TQ3', 'CLTEHE9FD2APDRWQ']"
Dressberry Gold Synthetic  Clutch,"['CLTEHE9FC9GPHNF2', 'CLTEHE9FS4UCYDGH', 'CLTEHE9FKGAZSNXR', 'CLTEHE9FNRZSJGNB']"
Dressberry Green Synthetic  Clutch,['CLTEHE9FJRKY7HKR']
Dressberry Orange Synthetic  Clutch,['CLTEHE9FNVRTJUGS']
E'Hiose Girl's Leggings (Pack of 6),['LJGEG57EHMYZQDZU']
EASIES Solid Single Breasted Casual Men's Blazer,"['BZREHKZP2NFKVKGV', 'BZREHKZPGCZNTHAT']"
Escan Lace Up,['SHOEHDMYWZNYA7HH']
Eternal Gandhi Super Series Crystal Paper Weight...,['PWTEB7H2E4KCYUE3']
Eyewear,"['FRAEGWY8MX9ZRY5Z', 'FRAEJXP9XXVAHYWK', 'FRAEGWYADDXUXCZY', 'FRAEGY86AYNQCGUN', 'FRAEHVHBG5KK6ETE']"
FEET FLOW Women Flats,"['SNDEGH3HWXFBXZJX', 'SNDEGGA6DEY3GHEF', 'SNDEGGQVCF8WEHEP', 'SNDEGGQTJZNMGP32']"
FIFO Bottom Women's  Combo,['ACBEHFQC8GH5YMQZ']
Fabpoppy Printed Women's Jumpsuit,['JUMEHGYX4SXZB5K4']
Favourite BikerZ 3514 RAD air filter Ionic Air F...,['VAFEHQZYGH5HRJJP']
"Firangi Cotton, Polyester Free Floor Mat Firangi...","['MATE49ATDVVEEEAN', 'MATE49ATZAJFGTHF', 'MATE49ATBA9NXCBG', 'MATE49ATGDAF4VAW']"
Fly U Slim Fit Fit Women's Brown Jeans,['JEAEHYZRRZDZZNWT']
Food & Nutrition,"['PSLEAVTQRYZP3YVG', 'PSLEAVTQQXEXZYYZ']"
Foot Candy Women Flats,['SNDEGGTV9XERMGHH']
Footwear,"['SHOED5DCSTQKZCGF', 'SHODZ5YHTEHZTR3V', 'SHODQP7ZZRGUAXNX', 'SHOE6ZQEB694PVM8', 'SHODQ3FUZVFEZFKQ']"
Frabjous German silver Rings For Women Alloy Zir...,"['RNGEHFDYHVSR3SMH', 'RNGEHFDYKFNM4UWZ', 'RNGEHFDYGPHZ3HGA']"
Furniture,"['SOFE94HW8TPTGPNX', 'SOFE8BZMFT7VRBSJ', 'SOFEE2TZYPDUVU9G', 'SOFEDVYZ4USUDJJV', 'SOFEDVYZFGA9KG6N']"
GALLOWAY skinny Fit Women's Jeans,"['JEAEHGTNPFBVGX2W', 'JEAEHGT9Z7T9YRGS']"
GM Power mate 4 Strip Surge Protector (White),['SUREHTCAEFZJ5ZQZ']
Gaming,"['ACCEGWH3M56QEA7Q', 'ACCEFZG2VSFDHKVZ', 'ACCEGGAYF5HTP4RG', 'ACCEGGAYKTBCGT2R', 'ACCEGG9VGRMQGHRD']"
Gking Hand Stiched Steering Cover For Maruti Ert...,['CSOEHQTYCCJADHTG']
Gking Hand Stiched Steering Cover For Renault Sc...,['CSOEHQUY7HYGZPDU']
Glacier Running Shoes,['SHOEFPCBUQHV7YUG']
HANS Men's Crew Length Socks,"['SOCEGHM6QFEFATF4', 'SOCEGHM9VGXDGFMF']"
Health & Personal Care Appliances,"['HDNEDVWYCSDUPFND', 'HDNEDVWYHZKH2Z9Y', 'HDNEDVWYGTNWKNNK', 'HDNEDVWYFZXNZFPM', 'HDNEDVWYYQG7YDHB']"
Himmlisch 20503 Car Bottle Holder (Plastic),['CBHEJVGBWGPXGMUE']
Home & Kitchen,"['MIXEHSR4WXK6YGGU', 'MRCEGVVBSGYFZ4FN', 'RFREHGN3X3FHM4YY', 'EMLEGMZRZGDARGR8', 'FDMEEHE6PWNXWYMK']"
Home Decor & Festive Needs,"['PTGEGUP6CFE4G5XT', 'SHIEBZB4JM2ZDFGM', 'SHIECCMNHQD5SZPZ', 'SHIEBWNUURZ8BWDZ', 'SHIEAVZQBP8HKYNH']"
Home Entertainment,"['HTHEDJCGQZ2RHXVZ', 'HTHEF7NSJAHRVHXZ', 'HTHEEZGZWWY4MZQV', 'HTHEAZB2FUH9FVQE', 'REMEGGG5QGBHAJAD']"
Home Furnishing,"['BLAEAWAA2BHQUZRG', 'BLAEAWAAVZBFWVSM', 'BLAEAWAARHRG2ZVD', 'CPGEGUDZWEGMZ9DZ', 'BLAE9CST6HZXH4G3']"
Home Improvement,"['SCHE7YGX8SSZCHA2', 'FSEEJVNPCDNP3QGG', 'WFCEGE8AWTDDUAMC', 'SCHE3Z7Q3TSVYMRP', 'PAEE8AHWJWMDAXZU']"
Household Supplies,"['KSCEG8EZHSRYDQNZ', 'KSCEG7CHTWWW4SPG', 'KSCEG7CHHJUHMVH2', 'KSCEG8HSR59YGGVP']"
INDILEGO Women Flats,"['SNDEGFJHB7XH9YPW', 'SNDEGFHSZDHSNJFM']"
INVENTURE RETAIL Nail Cutter,['NCCEHZTVHHY8BNDD']
Impala Alloy Cufflink (White),['CTPEGGFSTGPEZEUZ']
Indistar Self Design Viscose Women's Stole,"['SCFEHDJN5HUHSG5F', 'SCFEHDK7XFHAAZZZ', 'SCFEHDJKTM826ZRA']"
JUSF2 Black Color Hair Band (Multicolor),['HACEGKHCGRWZURKD']
Jazz Eyewears Over-sized Sunglasses,['SGLEGGG3PBR9XMDF']
Jewellery,"['RNGE96Y2KTQSGHNG', 'RNGE9HE5ZYYRGYTZ', 'RNGE7GVYTUPHQRYK', 'RNGE8HSQYRZ74THU', 'RNGE7M92XHFRHZCB']"
"Joyra Heart Sterling Silver Swarovski Crystal, S...",['RNGEH6UCQNQGQNFP']
Just Wow Women Flats,['SNDEGFDVAFPTGYED']
K&P Dr.Ambedkar Large 04 Showpiece  -  19 cm (Po...,['SHIEHGXHM6VBHTUR']
K&P Lord Ganesha Large 03 Showpiece  -  19 cm (P...,['SHIEHGXH8GPWGWFE']
"Kalpaveda Copper Bowl (Gold, Pack of 1)",['BWLEG47FHHGVJZZZ']
Kanvas Bellies,['SHOEHYFFPUHAKYYZ']
Kitchen & Dining,"['GLSEEANP3Z43QAUA', 'CNTEJVGGPSZRZDFH', 'PTPEJVNJHB6FXHDJ', 'PTPEANKGSUQC2EGN', 'SHKEHCGRHFFCFYKK']"
Kittens Boys Flats,['SNDEHDC6YDWFWHV2']
Klaur Melbourne Bellies,['SHOEHXHV4SZCQB65']
"Knight Ace Kraasa Sports Running Shoes, Cycling ...",['SHOEHE7C7X5FZYMF']
Koie  Battery - For Samsung 7562 Premium Quality...,['ACCEGGXEBPFGCDPQ']
"Kombee Girl's Printed Red, Pink Top & Capri Set",['NSTEG358AT2YQVV2']
Kraft Seeds Dill Herb Seed (50 per packet),['PAEEHFQEM8KMXHHM']
Kraft Seeds Rosemary Herb (Pack Of 5) Seed (75 p...,['PAEEHFQQHJQXNDDE']
Kraft Seeds Thyme Herbs Seed (200 per packet),['PAEEHFQH2G5TXFFH']
LGRL Women's Leggings,['LJGEGJJ3A3YPGNMP']
Laser X Checkered Men's Boxer (Pack of 4),['BXREGCWNHEBNY4HA']
Leading lady Women's Camisole,['CSPEHETE5PZBVAHS']
Legmark Slim Fit Women's Blue Jeans,['JEAEGGDJGFGQXEKV']
Legmark Slim Fit Women's Light Blue Jeans,['JEAEGGDJSGBFYYDF']
Libas Printed Women's A-line Kurta,['KTAEGFPRCCS46ZMA']
Libas Printed Women's Anarkali Kurta,['KTAEG2EQ6GSJE8AG']
Lilliput Top Baby Girl's  Combo,"['ACBEHDU8AZDTXQ5J', 'ACBEHDU9PG5BSYYM', 'ACBEHDUASPTC7JBZ', 'ACBEHDU9Z9DGZP9Z', 'ACBEHDUATE73ZUFF']"
Linzina Fashions LIN-HOSS-1.5 Faucet Set,['FSEEGGVEZFGM95J5']
Little Stars Girl's A-line Multicolor Dress,['DREEGBW5VVNVZPGC']
LondonHouze Printed Women's Round Neck Grey T-Shirt,['TSHEGGCYZT5VYAGD']
"Lucky Thailand GL/ LG30 Glass (300 ml, Clear, Pa...",['GLSEHQYGTDHYHFKJ']
MASARA Solid Women's Straight Kurta,"['KTAEHETVCXXZRXGK', 'KTAEHETWZZ5KEAT9', 'KTAEHETWXZYYG35G', 'KTAEHETW3ZCMFMJR', 'KTAEHETWRNSWM4EF']"
Mast & Harbour Black Synthetic  Clutch,"['CLTEHE9FHWMCHUMM', 'CLTEHE9GGXJKCWCV']"
Mast & Harbour Gold Synthetic  Clutch,['CLTEHE9GYYY2P7AN']
Miss Wow Slim Fit Women's Blue Jeans,['JEAEGCF5GJNHE3YU']
Mobiles & Accessories,"['ACCEEV5V5VD5DR9C', 'ACCEEV5UV5NV4PKZ', 'SSKEGDY6TVVGYPMQ', 'ACCE6GFEZJW8GCWE', 'PWBEH24XHG2YBYED']"
